<oov> 1.0	oov
فلمیں 1.0	F I L M AYN
دارانہ 1.0	DD AA R AA N AA
راجیہ 1.0	R AA DZ J AA
جولائی 1.0	DZ OO L AA II
مجھ 1.0	M U DZH
گہرے 1.0	G AEH H R AY
مہم 1.0	M U H A M
عاشق 1.0	AA SH I Q
گہری 1.0	G AEH H R II
ویڈیو 1.0	V AE D I J UU
محبِ 1.0	M U H B AY
کھڑکیاں 1.0	KH I RR K I J AAN
عدیل 1.0	A DD II L
محبت 1.0	M U H A B B A TD
عاشر 1.0	AA SH I R
آمدن 1.0	AA M DD A N
مجیبہ 1.0	M U DZ II B AA
ثالثی 1.0	S AA L I S II
یزمان 1.0	J A Z M AA N
مہر 1.0	M U H R
پالا 1.0	P AA L AA
اٹھائیس 1.0	A TH TH AA II S
مسرت 1.0	M U S A R R A TD
بسمہ 1.0	B A S A M AA
ظہور 1.0	Z U H UU R
خیابانِسرسید 1.0	X AA X AA N I S A R S II DD
ناظرین 1.0	N AA Z I R II N
بھرنی 1.0	BH A R N II
لیٹا 1.0	L AY T AA
پھولوں 1.0	PH UU L OON
دھڑکن 1.0	DDH A RR K A N
ناشکری 1.0	N AA SH U K R II
بیٹیاں 1.0	B AY T II AAN
حاکم 1.0	H AA K I M
سموسے 1.0	S A M OO S AY
عرب 1.0	A R A B
موچی 1.0	M OO TS II
تنظیم 1.0	TD A N Z II M
ناراض 1.0	N AA R AA Z
اپنانے 1.0	A P N AA N AY
دونوں 1.0	DD OO N OON
اصل 1.0	A S L
رعنا 1.0	R A A N AA
عرق 1.0	A R A Q
اپنانی 1.0	A P N AA N II
گہرا 1.0	G AEH H R AA
ثابت 1.0	S AA B A TD
دیگر 1.0	DD AY G A R
امور 1.0	U M UU R
نشر 1.0	N A SH A R
نگر 1.0	N I G A R
کمزوری 1.0	K A M Z OO R II
چھین 1.0	TSH II N
زیارت 1.0	Z I J AA R A TD
آشنا 1.0	AA SH N AA
مہیا 1.0	M A H J AA
بازاروں 1.0	B AA Z AA R OON
فاخرہ 1.0	F AA X I R AA
سنورنا 1.0	S A N V A R N AA
بڑھتی 1.0	B A RRH TD II
افتخار 1.0	I F TD I X AA R
سوچ 1.0	S OO TS
بڑھتے 1.0	B A RRH TD AY
خاتمہ 1.0	X AA TD I M AA
طوطے 1.0	TD UU TD AY
سوٹ 1.0	S UU T
کھولنے 1.0	KH OO L N AY
بڑھتا 1.0	B A RRH TD AA
خاتمے 1.0	X AA TD M AY
طوطی 1.0	TD UU TD II
منصوبے 1.0	M A N S UU B AY
قافلہ 1.0	Q AA F I L AA
سپرد 1.0	S A P A R DD
برقرار 1.0	B A R Q A R AA R
قرار 1.0	Q I R AA R
مشین 1.0	M A SH II N
عربی 1.0	A R A B II
مسکینہ 1.0	M I S K II N AA
محفلِ 1.0	M A H F I L AY
انگریزی 1.0	A NG R AY Z II
نماز 1.0	N A M AA Z
لبابہ 1.0	L A B AA B AA
بجلی 1.0	B I DZ L II
دفن 1.0	DD A F N
تبدیلی 1.0	TD A B DD II L II
جملوں 1.0	DZ A M L OON
مانگتی 1.0	M AA NG TD II
ٹھیکیدار 1.0	TH AY K AY DD AA R
تنقید 1.0	TD A N Q II DD
بوسیدہ 1.0	B OO S II DD AA
شورش 1.0	SH OO R I SH
پولیس 1.0	P OO L II S
شفاقت 1.0	SH A F AA Q A TD
طویل 1.0	TD A V II L
گڑیا 1.0	G U RR J AA
گزاریں 1.0	G U Z AA R AYN
درہ 1.0	DD A R R AA
دری 1.0	DD A R R II
شوق 1.0	SH O Q
دادو 1.0	DD AA DD UU
اجتماع 1.0	I DZ TD I M AA
شوز 1.0	SH O Z
شور 1.0	SH UU R
شوخ 1.0	SH O X
ارجمند 1.0	A R DZ M A N DD
گداگری 1.0	G A DD AA G R II
تلاوت 1.0	TD A L AA V A TD
ماجد 1.0	M AA DZ I DD
دشواریوں 1.0	DD U SH V AA R II OON
جسمانی 1.0	DZ I S M AA N II
پہنتے 1.0	P AEH H A N TD AY
بدولت 1.0	B A DD UU L A TD
کیانی 1.0	K I J AA N II
بےمعنی 1.0	B AY M A Y N II
اچھے 1.0	U TSH TSH AY
مکمل 1.0	M U K M A L
ناقابل 1.0	N AA Q AA B I L
معلوم 1.0	M AA L UU M
اصفر 1.0	A S F A R
اچھی 1.0	A TSH TSH II
خواہاں 1.0	X AA H AAN
اکبری 1.0	A K B A R II
زید 1.0	Z II DD
تصویر 1.0	TD A S V II R
مجھے 1.0	M U DZH DZH AY
درد 1.0	DD A R DD
درج 1.0	DD A R DZ
جھمرو 1.0	DZH A M R UU
دروازہ 1.0	DD A R V AA Z AA
ٹیکسی 1.0	T AE K S II
پہاڑوں 1.0	P A H AA RR OON
اورنگی 1.0	O R A NG G II
دروازے 1.0	DD A R V AA Z AY
سنسان 1.0	S U N S AA N
نیلے 1.0	N II L AY
برطرف 1.0	B A R TD A R A F
آلود 1.0	AA L UU DD
محبتوں 1.0	M U H A B B A TD OON
باراتیوں 1.0	B AA R AA TD II OON
ایوان 1.0	AE V AA N
چٹھی 1.0	TS I T TH II
جواں 1.0	DZ A V AAN
انیسہ 1.0	A N II S AA
عدل 1.0	A DD L
مشکل 1.0	M U SH K I L
مثبت 1.0	M U S B A TD
پھنسایا 1.0	PH A N S AA J AA
یورپی 1.0	J UU R P II
نمائش 1.0	N U M AA I SH
شناختی 1.0	SH A N AA X TD II
خاندانی 1.0	X AA N DD AA N II
ترک 1.0	TD A R K
بارشو 1.0	B AA R SH UU
جواد 1.0	DZ A V AA DD
جواب 1.0	DZ A V V AA B
ترچ 1.0	TD A R TS
کہڑور 1.0	K A H RR A V A R
نہایت 1.0	N I H AA J A TD
اہلیہ 1.0	A H L I J AA
جواز 1.0	DZ A V AA Z
ف 1.0	F
موجودہ 1.0	M O DZ UU DD AA
اٹھارہ 1.0	A TH TH AA R AA
ڈیفنس 1.0	D II F A N S
جوابی 1.0	DZ A V V AA B II
پنکھے 1.0	P A N KH AY
نژاد 1.0	N I ZZ AA DD
کیا 1.0	K A J J AA
انٹرنیٹ 1.0	I N T A R N AY T
جوہری 1.0	DZ O H R II
کیس 1.0	K AY S
کمالیہ 1.0	K U M AA L I J AA
گریز 1.0	G U R II Z
سستا 1.0	S A S TD AA
رویوں 1.0	R A V A J J OON
اِسکی 1.0	I S K II
حنیفہ 1.0	H A N II F AA
خفیہ 1.0	X A F J AA
جدید 1.0	DZ A DD II DD
کیٹ 1.0	K AE T
وقت 1.0	V A Q TD
بشانہ 1.0	B A SH AA N AA
گرین 1.0	G I R II N
ٹھپ 1.0	TH A P
گھبرا 1.0	GH A B R AA
کیں 1.0	K IIN
پھیلاؤ 1.0	PH AE L AA OO
شعبوں 1.0	SH OO B OON
لڑکوں 1.0	L A RR K OON
فرحین 1.0	F A R H AE N
دوکانداروں 1.0	DD UU K AA N DD AA R OON
صدمہ 1.0	S A DD DD AA
بلقیس 1.0	B A L Q II S
لاو 1.0	L AA V
وطن 1.0	V A TD A N
جھوٹ 1.0	DZH UU T
تکنیکی 1.0	TD A K N II K II
ڈھیلا 1.0	DH AY L AA
قسم 1.0	Q I S A M
لئے 1.0	L I AY
دوستی 1.0	DD OO S TD II
کیے 1.0	K II AY
والد 1.0	V AA L I DD
باندھ 1.0	B AA N DDH
والا 1.0	V AA L AA
غزل 1.0	GG A Z A L
پنجاب 1.0	P A N DZ AA B
طورخم 1.0	TD O R A X A M
لیتے 1.0	L AY TD AY
برس 1.0	B A R S
برت 1.0	B A R TD
لیتی 1.0	L AY TD II
مشاہدہ 1.0	M U SH AA H A DD AA
عدد 1.0	A DD A DD
دکھوں 1.0	DD U KH UUN
مایوس 1.0	M AA J UU S
خواب 1.0	X AA B
برف 1.0	B A R F
بولا 1.0	B OO L AA
مسعودہ 1.0	M A S UU DD AA
غزر 1.0	GG A Z A R
رپورٹ 1.0	R I P OO R T
اعتصام 1.0	I TD I S AA M
باندی 1.0	B AA N DD II
میلوڈی 1.0	M AE L OO D II
کاروائیاں 1.0	K AA R V AA I J AAN
اتروانا 1.0	U TD A R V AA N AA
نازونخرے 1.0	N AA Z OO N X R AY
معروف 1.0	M A R UU F
حقائق 1.0	H A Q AA I Q
آئندہ 1.0	AA I N DD AA
بولی 1.0	B OO L II
بتائی 1.0	B A TD AA II
وسائل 1.0	V A S AA I L
صحافی 1.0	S A H H AA F II
جیئں 1.0	DZ II AYN
آنکھ 1.0	AA N KH
اہلیت 1.0	A H L II J A TD
بری 1.0	B A R II
منگل 1.0	M A NG G A L
لیتا 1.0	L AY TD AA
والی 1.0	V AA L II
ادھر 1.0	U DDH A R
والہ 1.0	V AA L AA
تیاری 1.0	TD A J J AA R II
کاکو 1.0	K AA K UU
مقدمات 1.0	M U Q A DD DD A M AA TD
والے 1.0	V AA L AY
دلاور 1.0	DD A L AA V A R
لورالائی 1.0	L O R AA L AA II
کھو 1.0	KH OO
کھل 1.0	KH A L
چاہے 1.0	TS AA H AY
خالق 1.0	X AA L I Q
چشمہ 1.0	TS A SH M AA
انتخاب 1.0	I N TD I X AA B
خونریز 1.0	X UU N R II Z
بہن 1.0	B AEH H A N
چوری 1.0	TS UU R II
فضیل 1.0	F A Z II L
بہت 1.0	B A H A TD
ارخام 1.0	I R X AA M
افغانستان 1.0	A F GG AA N I S TD AA N
بہا 1.0	B A H AA
لباس 1.0	L A B AA S
فواد 1.0	F A V AA DD
دلنواز 1.0	DD I L N A V AA Z
خالد 1.0	X AA L I DD
ویگنوں 1.0	V AE G A N OON
عقیل 1.0	A Q II L
کھا 1.0	KH AA
بھلانی 1.0	BH U L AA N II
بڑھئی 1.0	B A RRH A II
بجھانے 1.0	B U DZH AA N AY
خالی 1.0	X AA L II
البان 1.0	A L B AA N
ملتان 1.0	M U L TD AA N
ربیعہ 1.0	R A B II AA
درزی 1.0	DD A R Z II
قرینے 1.0	Q A R II N AY
گندگی 1.0	G A N DD A G II
چھوڑ 1.0	TSH OO RR
سینما 1.0	S AE N M AA
عبور 1.0	A B UU R
ابوتراب 1.0	A B OO TD A R AA B
منگوڑہ 1.0	M A NG G UU RR AA
نمٹنے 1.0	N I M A T N AY
ہمسایہ 1.0	H A M S AA J AA
دبا 1.0	DD A B AA
اخبار 1.0	A X B AA R
شاید 1.0	SH AA J A DD
برابر 1.0	B A R AA B A R
زبیدہ 1.0	Z A B II DD AA
بیماریاں 1.0	B II M AA R I J AAN
ملاقات 1.0	M U L L AA Q AA TD
چاہت 1.0	TS AA H A TD
قمر 1.0	Q A M A R
بھائیوں 1.0	BH AA II OON
ٹھٹہ 1.0	TH A T T AA
سست 1.0	S U S TD
برانڈس 1.0	B A R AA N D S
رہےہیں 1.0	R A H AY H AYN
آمریت 1.0	AA M R II J A TD
اڑ 1.0	U RR
شریعت 1.0	SH A R II J A TD
شہداد 1.0	SH U H DD AA DD
ہڑتالیں 1.0	H A RR TD AA L AYN
لوٹا 1.0	L OO T AA
ڈپٹ 1.0	D I P I T
سخت 1.0	S A X TD
ہوائی 1.0	H A V AA II
دالیں 1.0	DD AA L AYN
حلیمہ 1.0	H A L II M AA
متعارف 1.0	M U TD A AA R I F
اے 1.0	AY
گاتے 1.0	G AA TD AY
ماہین 1.0	M AA H II N
ماجدہ 1.0	M AA DZ I DD AA
تنگ 1.0	TD A NG
از 1.0	A Z
پتنگ 1.0	P A TD TD I NG
نئے 1.0	N I AY
نئی 1.0	N A II
بابت 1.0	B AA B A TD
بِلا 1.0	B I L AA
حرمت 1.0	H A R M A TD
حرمد 1.0	H A R M A DD
اب 1.0	A B
اسود 1.0	A S UU DD
بہبود 1.0	B A H B UU DD
سبکتگین 1.0	S U B K A TD G II N
جرمانہ 1.0	DZ U R M AA N AA
اسحاق 1.0	I S H AA Q
ڈالتے 1.0	D AA L TD AY
یہیں 1.0	J A H AYN
وزارتِ 1.0	V A Z AA R A TD AY
دادنخان 1.0	DD AA DD N X AA N
طارق 1.0	TD AA R I Q
مقبول 1.0	M A Q B UU L
پارلیمنٹ 1.0	P AA R L II M A N T
ان 1.0	A N
رضوان 1.0	R I Z V AA N
اکیڈمیاں 1.0	A K AE D M I J AAN
پنڈی 1.0	P I N D II
صنعتی 1.0	S A N A TD II
ماچھی 1.0	M AA TSH II
ڈھاکہ 1.0	DH AA K AA
حلال 1.0	H A L L AA L
کھڑکی 1.0	KH I RR K II
مِل 1.0	M I L
اجنبی 1.0	A DZ N A B II
بنیاد 1.0	B A N J AA DD
کچی 1.0	K U TS TS II
شاکر 1.0	SH AA K I R
اکبر 1.0	A K B A R
بدگمانیاں 1.0	B A DD G U M AA N I J AAN
کچھ 1.0	K U TSH
خاموشی 1.0	X AA M OO SH II
گھومنے 1.0	GH UU M N AY
ٹریفک 1.0	T A R AE F I K
یلغار 1.0	J A L GG AA R
چلوں 1.0	TS A L L OON
بارونق 1.0	B AA R UU N A Q
شاہانہ 1.0	SH AA H AA N AA
ضروری 1.0	Z A R UU R II
کارکردگی 1.0	K AA R K A R DD A G II
بھٹیاں 1.0	BH A T T I J AAN
خام 1.0	X AA M
بھایئوں 1.0	BH AA II OON
ضرورت 1.0	Z A R UU R A TD
دیانت 1.0	DD I J AA N A TD
تائثر 1.0	TD AA A S S U R
آئند 1.0	AA I N DD
زوہیب 1.0	Z OO H II B
جائے 1.0	DZ AA AY
قصہ 1.0	Q I S S AA
سیمی 1.0	S II M II
تجاوزات 1.0	TD A DZ AA V U Z AA TD
خاص 1.0	X AA S
تعمیراتی 1.0	TD AA M II R AA TD II
سفیان 1.0	S A F J AA N
متین 1.0	M A TD II N
خدمت 1.0	X I DD M A TD
رویہ 1.0	R A V I J AA
کاملہ 1.0	K AA M I L AA
مشکلات 1.0	M U SH K A L AA TD
اچھاہے 1.0	AA TSH TSH AA H AY
تائبہ 1.0	TD AA I B AA
لکھنا 1.0	L I KH N AA
تعبیر 1.0	TD A B II R
دھو 1.0	DDH OO
شاہین 1.0	SH AA H II N
جماعتوں 1.0	DZ A M AA A TD OON
قطاریں 1.0	Q I TD AA R AYN
ہتھکڑی 1.0	H A TDH K A RR II
سربراہ 1.0	S A R B A R AA
چوٹی 1.0	TS OO T II
ہلکی 1.0	H A L K II
ترسیل 1.0	TD A R S II L
پسینہ 1.0	P A S II N AA
انوشہ 1.0	A N OO SH AA
مدِنظر 1.0	M A DD DD AY N A Z A R
ووٹروں 1.0	V OO T R OON
ارد 1.0	A R DD
کیمرے 1.0	K AE M R AY
ارب 1.0	A R A B
تکلیف 1.0	TD A K L II F
مینار 1.0	M II N AA R
تنظیموں 1.0	TD A N Z II M OON
چنن 1.0	TS U N A N
انگلینڈ 1.0	I NG L AE N D
لکھنے 1.0	L I KH N AY
ارم 1.0	A R A M
فکر 1.0	F I K R
چند 1.0	TS A N DD
مزاحیہ 1.0	M U Z AA H I J AA
جذبات 1.0	DZ A Z B AA TD
محکمے 1.0	M U H K A M AY
اندازہ 1.0	A N DD AA Z AA
لانڈھی 1.0	L AA N DH II
ملتوی 1.0	M U L TD A V II
اٹھنا 1.0	U TH N AA
کاروائی 1.0	K AA R V AA II
محکمہ 1.0	M U H K A M AA
اندازی 1.0	A N DD AA Z II
بٹ 1.0	B A T
رنگوں 1.0	R A NG G OON
جاگ 1.0	DZ AA G
کھولے 1.0	KH OO L AY
جوق 1.0	DZ O Q
کارِخیر 1.0	K AA R AY X AE R
مسکراتے 1.0	M U S K U R AA TD AY
ٹیسٹ 1.0	T AE S T
توڑ 1.0	TD OO RR
بحیرہ 1.0	B A H AE R AA
بل 1.0	B I L
بم 1.0	B A M
لمحوں 1.0	L A M H OON
بس 1.0	B A S
بر 1.0	B A R
عاتکہ 1.0	AA TD I K AA
جوس 1.0	DZ O S
بد 1.0	B A DD
بج 1.0	B A DZ
با 1.0	B AA
پبلیسٹی 1.0	P A B L II S I T II
بلند 1.0	B A L A N DD
نم 1.0	N A M
سرخ 1.0	S U R X
مافیا 1.0	M AA F I J AA
صوفیہ 1.0	S OO F I J AA
رداء 1.0	R I DD AA
قرطبہ 1.0	Q U R TD A B AA
غریب 1.0	GG A R II B
بیماریوں 1.0	B AE M AA R II OON
حمایت 1.0	H A M AA J A TD
لمحہ 1.0	L A M H AA
بے 1.0	B AY
اتر 1.0	U TD R
لمحے 1.0	L A M H AY
اعشاریہ 1.0	A SH AA R I J AA
کھولو 1.0	KH OO L OO
کرنٹ 1.0	K A R A N T
رشتوں 1.0	R I SH TD OON
کھولا 1.0	KH OO L AA
نبھا 1.0	N I BH AA
نامے 1.0	N AA M AY
عرفان 1.0	I R F AA N
عنان 1.0	I N AA N
جوڑ 1.0	DZ O RR
بچ 1.0	B A TS
میمونہ 1.0	M AE M UU N AA
گاجر 1.0	G AA DZ A R
قانونِ 1.0	Q AA N UU N AY
کھاد 1.0	KH AA DD
پیچیدگیاں 1.0	P AY TS II DD G II AAN
برتی 1.0	B A R TD II
سبین 1.0	S A B II N
بیروزگاری 1.0	B AY R OO Z G AA R II
کشمیر 1.0	K A SH M II R
حضرو 1.0	H A Z R UU
کھانے 1.0	KH AA N AY
تی 1.0	TD II
کھانی 1.0	KH AA N II
انتقال 1.0	I N TD I Q AA L
حضرت 1.0	H A Z R A TD
تاثرات 1.0	TD AA S S U R AA TD
معطلی 1.0	M U A TD TD I L II
کمپیوٹر 1.0	K A M P I J UU T A R
دیکھے 1.0	DD AY KH AY
عبداللہ 1.0	A B DD U L L AA
موذی 1.0	M UU Z II
ناصرہ 1.0	N AA S I R AA
دیر 1.0	DD AY R
دیس 1.0	DD AY S
قیصر 1.0	Q II S A R
چ 1.0	TS A TS
دیہات 1.0	DD AY H AA TD
رزین 1.0	R A Z II N
برتن 1.0	B A R TD A N
دیے 1.0	DD II AY
قانونی 1.0	Q AA N UU N II
مادری 1.0	M AA DD A R II
دیکھا 1.0	DD AY KH AA
چیزیں 1.0	TS II Z AYN
اصمد 1.0	A S M A DD
حضری 1.0	H A Z R II
تو 1.0	TD OO
قانوناً 1.0	Q AA N UU N A N
صبوحی 1.0	S A B UU H II
تم 1.0	TD U M
وہاں 1.0	V A H AAN
شازیہ 1.0	SH AA Z I J AA
کالام 1.0	K AA L AA M
بدنظمی 1.0	B A DD N A Z M II
تر 1.0	TD A R
وزیرِپٹرولیم 1.0	V A Z II R AY P A T R OO L II M
کھانا 1.0	KH AA N AA
تا 1.0	TD AA
پیشین 1.0	P AY SH II N
روایتی 1.0	R A V AA II TD II
دیں 1.0	DD AYN
علیکم 1.0	A L II K A M
اٹھایا 1.0	U TH AA J AA
ریگل 1.0	R II G A L
اہلکاروں 1.0	A H A L K AA R OON
عارضی 1.0	AA R Z II
حسو 1.0	H U S UU
حسن 1.0	H U S A N
جبین 1.0	DZ A B II N
گائے 1.0	G AA AY
افشین 1.0	A F SH I J A N
نکالا 1.0	N I K AA L AA
بٹوہ 1.0	B A T V AA
رمشاء 1.0	R A M SH AA
اکرم 1.0	A K R A M
پہاڑی 1.0	P A H AA RR II
بٹوے 1.0	B A T V AY
عدلیہ 1.0	A DD L I J AA
ہلاک 1.0	H A L L AA K
اپیل 1.0	A P II L
واضح 1.0	V AA Z AY
طلاق 1.0	TD A L L AA Q
طلال 1.0	TD A L AA L
چینل 1.0	TS AE N A L
سونیا 1.0	S OO N I J AA
اُس 1.0	U S
سطح 1.0	S A TD H
روایت 1.0	R I V AA J A TD
بریانی 1.0	B A R J AA N II
مزدوروں 1.0	M A Z DD UU R OON
اندھا 1.0	A N DDH AA
حسب 1.0	H A S A B
ایمانداری 1.0	II M AA N DD AA R II
مشتمل 1.0	M U SH TD A M I L
لانے 1.0	L AA N AY
اندھی 1.0	A N DDH II
مایا 1.0	M AA J AA
مقام 1.0	M U Q AA M
نا 1.0	N AA
بابرہ 1.0	B AA B A R AA
سواریاں 1.0	S A V AA R I J AAN
گئے 1.0	G I AY
ہلال 1.0	H A L L AA L
بول 1.0	B OO L
چینی 1.0	TS II N II
بہتری 1.0	B AEH H TD A R II
نعمت 1.0	N AY M A TD
چوبرجی 1.0	TS O B A R DZ II
وصول 1.0	V U S UU L
جیون 1.0	DZ II V A N
چانسلر 1.0	TS AA N S L A R
شاباش 1.0	SH AA B AA SH
ملا 1.0	M I L L AA
ایکشن 1.0	AE K SH A N
جات 1.0	DZ AA TD
ظلم 1.0	Z U L M
انتظام 1.0	I N TD I Z AA M
کلینک 1.0	K A L II N I K
حافظہ 1.0	H AA F I Z AA
خواہشات 1.0	X AA H I SH AA TD
پرواز 1.0	P A R V AA Z
الاقوامی 1.0	A L AA Q V AA M II
ادیب 1.0	A DD II B
صولت 1.0	S UU L A TD
جمرود 1.0	DZ A M R UU DD
پاکپتن 1.0	P AA K P A TD A N
مینارِپاکستان 1.0	M II N AA R I P AA K I S TD AA N
ادیم 1.0	A DD II M
کریں 1.0	K U R R AYN
بروئے 1.0	B A R V I AY
بیہودہ 1.0	B AY H UU DD AA
پروان 1.0	P A R V AA N
کوٹلی 1.0	K OO T L II
ترجح 1.0	TD A R DZ AA
بہزاد 1.0	B AEH H Z AA DD
انتظار 1.0	I N TD I Z AA R
ساجدہ 1.0	S AA DZ I DD AA
جھلس 1.0	DZH U L A S
تان 1.0	TD AA N
ہوشمند 1.0	H OO SH M A N DD
عہدےداروں 1.0	OOH H DD AY DD AA R OON
نمائندے 1.0	N U M AA I N DD AY
تمہیں 1.0	TD U M H AYN
فوجی 1.0	F OO DZ II
معاشرتی 1.0	M U AA SH A R TD II
کریم 1.0	K A R II M
