<oov> 1.0	oov
رہاہوں 1.0	R A H A_A H O_O_N
ڈسپنسریاں 1.0	D I S P A N S A R I J A_A_N
وعدے 1.0	V A_A D_D A_Y
وسط 1.0	V A S T_D
قطا 1.0	Q I T_D A N
حویلی 1.0	H A V II L II
منئی 1.0	M A N A II
شبنم 1.0	S_H A B N A M
گھنٹوں 1.0	G_H A N T O_O_N
حباب 1.0	H A B A_A B
غنڈہ 1.0	G_G U N D A_A
دھوبی 1.0	D_D_H O_O B II
پونچھ 1.0	P U_U N TS_H
دہلی 1.0	D_D AE_H H L II
چار 1.0	TS A_A R
سورج 1.0	S O R D_Z
جھرنا 1.0	D_Z_H A R N A_A
مصیبت 1.0	M U S II B A T_D
فلمیں 1.0	F I L M A_Y_N
دارانہ 1.0	D_D A_A R A_A N A_A
راجیہ 1.0	R A_A D_Z J A_A
جولائی 1.0	D_Z O_O L A_A II
مجھ 1.0	M U D_Z_H
گہرے 1.0	G AE_H H R A_Y
مہم 1.0	M U H A M
عاشق 1.0	A_A S_H I Q
گہری 1.0	G AE_H H R II
ویڈیو 1.0	V AE D I J U_U
محبِ 1.0	M U H B A_Y
کھڑکیاں 1.0	K_H I R_R K I J A_A_N
عدیل 1.0	A D_D II L
محبت 1.0	M U H A B B A T_D
عاشر 1.0	A_A S_H I R
آمدن 1.0	A_A M D_D A N
مجیبہ 1.0	M U D_Z II B A_A
ثالثی 1.0	S A_A L I S II
یزمان 1.0	J A Z M A_A N
مہر 1.0	M U H R
پالا 1.0	P A_A L A_A
اٹھائیس 1.0	A T_H T_H A_A II S
مسرت 1.0	M U S A R R A T_D
بسمہ 1.0	B A S A M A_A
ظہور 1.0	Z U H U_U R
خیابانِسرسید 1.0	X A_A X A_A N I S A R S II D_D
ناظرین 1.0	N A_A Z I R II N
بھرنی 1.0	B_H A R N II
لیٹا 1.0	L A_Y T A_A
پھولوں 1.0	P_H U_U L O_O_N
دھڑکن 1.0	D_D_H A R_R K A N
ناشکری 1.0	N A_A S_H U K R II
بیٹیاں 1.0	B A_Y T II A_A_N
حاکم 1.0	H A_A K I M
سموسے 1.0	S A M O_O S A_Y
عرب 1.0	A R A B
موچی 1.0	M O_O TS II
تنظیم 1.0	T_D A N Z II M
ناراض 1.0	N A_A R A_A Z
اپنانے 1.0	A P N A_A N A_Y
دونوں 1.0	D_D O_O N O_O_N
اصل 1.0	A S L
رعنا 1.0	R A A N A_A
عرق 1.0	A R A Q
اپنانی 1.0	A P N A_A N II
گہرا 1.0	G AE_H H R A_A
ثابت 1.0	S A_A B A T_D
دیگر 1.0	D_D A_Y G A R
امور 1.0	U M U_U R
نشر 1.0	N A S_H A R
نگر 1.0	N I G A R
کمزوری 1.0	K A M Z O_O R II
چھین 1.0	TS_H II N
زیارت 1.0	Z I J A_A R A T_D
آشنا 1.0	A_A S_H N A_A
مہیا 1.0	M A H J A_A
بازاروں 1.0	B A_A Z A_A R O_O_N
فاخرہ 1.0	F A_A X I R A_A
سنورنا 1.0	S A N V A R N A_A
بڑھتی 1.0	B A R_R_H T_D II
افتخار 1.0	I F T_D I X A_A R
سوچ 1.0	S O_O TS
بڑھتے 1.0	B A R_R_H T_D A_Y
خاتمہ 1.0	X A_A T_D I M A_A
طوطے 1.0	T_D U_U T_D A_Y
سوٹ 1.0	S U_U T
کھولنے 1.0	K_H O_O L N A_Y
بڑھتا 1.0	B A R_R_H T_D A_A
خاتمے 1.0	X A_A T_D M A_Y
طوطی 1.0	T_D U_U T_D II
منصوبے 1.0	M A N S U_U B A_Y
قافلہ 1.0	Q A_A F I L A_A
سپرد 1.0	S A P A R D_D
برقرار 1.0	B A R Q A R A_A R
قرار 1.0	Q I R A_A R
مشین 1.0	M A S_H II N
عربی 1.0	A R A B II
مسکینہ 1.0	M I S K II N A_A
محفلِ 1.0	M A H F I L A_Y
انگریزی 1.0	A N_G R A_Y Z II
نماز 1.0	N A M A_A Z
لبابہ 1.0	L A B A_A B A_A
بجلی 1.0	B I D_Z L II
دفن 1.0	D_D A F N
تبدیلی 1.0	T_D A B D_D II L II
جملوں 1.0	D_Z A M L O_O_N
مانگتی 1.0	M A_A N_G T_D II
ٹھیکیدار 1.0	T_H A_Y K A_Y D_D A_A R
تنقید 1.0	T_D A N Q II D_D
بوسیدہ 1.0	B O_O S II D_D A_A
شورش 1.0	S_H O_O R I S_H
پولیس 1.0	P O_O L II S
شفاقت 1.0	S_H A F A_A Q A T_D
طویل 1.0	T_D A V II L
گڑیا 1.0	G U R_R J A_A
گزاریں 1.0	G U Z A_A R A_Y_N
درہ 1.0	D_D A R R A_A
دری 1.0	D_D A R R II
شوق 1.0	S_H O Q
دادو 1.0	D_D A_A D_D U_U
اجتماع 1.0	I D_Z T_D I M A_A
شوز 1.0	S_H O Z
شور 1.0	S_H U_U R
شوخ 1.0	S_H O X
ارجمند 1.0	A R D_Z M A N D_D
گداگری 1.0	G A D_D A_A G R II
تلاوت 1.0	T_D A L A_A V A T_D
ماجد 1.0	M A_A D_Z I D_D
دشواریوں 1.0	D_D U S_H V A_A R II O_O_N
جسمانی 1.0	D_Z I S M A_A N II
پہنتے 1.0	P AE_H H A N T_D A_Y
بدولت 1.0	B A D_D U_U L A T_D
کیانی 1.0	K I J A_A N II
بےمعنی 1.0	B A_Y M A Y N II
اچھے 1.0	U TS_H TS_H A_Y
مکمل 1.0	M U K M A L
ناقابل 1.0	N A_A Q A_A B I L
معلوم 1.0	M A_A L U_U M
اصفر 1.0	A S F A R
اچھی 1.0	A TS_H TS_H II
خواہاں 1.0	X A_A H A_A_N
اکبری 1.0	A K B A R II
زید 1.0	Z II D_D
تصویر 1.0	T_D A S V II R
مجھے 1.0	M U D_Z_H D_Z_H A_Y
درد 1.0	D_D A R D_D
درج 1.0	D_D A R D_Z
جھمرو 1.0	D_Z_H A M R U_U
دروازہ 1.0	D_D A R V A_A Z A_A
ٹیکسی 1.0	T AE K S II
پہاڑوں 1.0	P A H A_A R_R O_O_N
اورنگی 1.0	O R A N_G G II
دروازے 1.0	D_D A R V A_A Z A_Y
سنسان 1.0	S U N S A_A N
نیلے 1.0	N II L A_Y
برطرف 1.0	B A R T_D A R A F
آلود 1.0	A_A L U_U D_D
محبتوں 1.0	M U H A B B A T_D O_O_N
باراتیوں 1.0	B A_A R A_A T_D II O_O_N
ایوان 1.0	AE V A_A N
چٹھی 1.0	TS I T T_H II
جواں 1.0	D_Z A V A_A_N
انیسہ 1.0	A N II S A_A
عدل 1.0	A D_D L
مشکل 1.0	M U S_H K I L
مثبت 1.0	M U S B A T_D
پھنسایا 1.0	P_H A N S A_A J A_A
یورپی 1.0	J U_U R P II
نمائش 1.0	N U M A_A I S_H
شناختی 1.0	S_H A N A_A X T_D II
خاندانی 1.0	X A_A N D_D A_A N II
ترک 1.0	T_D A R K
بارشو 1.0	B A_A R S_H U_U
جواد 1.0	D_Z A V A_A D_D
جواب 1.0	D_Z A V V A_A B
ترچ 1.0	T_D A R TS
کہڑور 1.0	K A H R_R A V A R
نہایت 1.0	N I H A_A J A T_D
اہلیہ 1.0	A H L I J A_A
جواز 1.0	D_Z A V A_A Z
ف 1.0	F
موجودہ 1.0	M O D_Z U_U D_D A_A
اٹھارہ 1.0	A T_H T_H A_A R A_A
ڈیفنس 1.0	D II F A N S
جوابی 1.0	D_Z A V V A_A B II
پنکھے 1.0	P A N K_H A_Y
نژاد 1.0	N I Z_Z A_A D_D
کیا 1.0	K A J J A_A
انٹرنیٹ 1.0	I N T A R N A_Y T
جوہری 1.0	D_Z O H R II
کیس 1.0	K A_Y S
کمالیہ 1.0	K U M A_A L I J A_A
گریز 1.0	G U R II Z
سستا 1.0	S A S T_D A_A
رویوں 1.0	R A V A J J O_O_N
اِسکی 1.0	I S K II
حنیفہ 1.0	H A N II F A_A
خفیہ 1.0	X A F J A_A
جدید 1.0	D_Z A D_D II D_D
کیٹ 1.0	K AE T
وقت 1.0	V A Q T_D
بشانہ 1.0	B A S_H A_A N A_A
گرین 1.0	G I R II N
ٹھپ 1.0	T_H A P
گھبرا 1.0	G_H A B R A_A
کیں 1.0	K II_N
پھیلاؤ 1.0	P_H AE L A_A O_O
شعبوں 1.0	S_H O_O B O_O_N
لڑکوں 1.0	L A R_R K O_O_N
فرحین 1.0	F A R H AE N
دوکانداروں 1.0	D_D U_U K A_A N D_D A_A R O_O_N
صدمہ 1.0	S A D_D D_D A_A
بلقیس 1.0	B A L Q II S
لاو 1.0	L A_A V
وطن 1.0	V A T_D A N
جھوٹ 1.0	D_Z_H U_U T
تکنیکی 1.0	T_D A K N II K II
ڈھیلا 1.0	D_H A_Y L A_A
قسم 1.0	Q I S A M
لئے 1.0	L I A_Y
دوستی 1.0	D_D O_O S T_D II
کیے 1.0	K II A_Y
والد 1.0	V A_A L I D_D
باندھ 1.0	B A_A N D_D_H
والا 1.0	V A_A L A_A
غزل 1.0	G_G A Z A L
پنجاب 1.0	P A N D_Z A_A B
طورخم 1.0	T_D O R A X A M
لیتے 1.0	L A_Y T_D A_Y
برس 1.0	B A R S
برت 1.0	B A R T_D
لیتی 1.0	L A_Y T_D II
مشاہدہ 1.0	M U S_H A_A H A D_D A_A
عدد 1.0	A D_D A D_D
دکھوں 1.0	D_D U K_H U_U_N
مایوس 1.0	M A_A J U_U S
خواب 1.0	X A_A B
برف 1.0	B A R F
بولا 1.0	B O_O L A_A
مسعودہ 1.0	M A S U_U D_D A_A
غزر 1.0	G_G A Z A R
رپورٹ 1.0	R I P O_O R T
اعتصام 1.0	I T_D I S A_A M
باندی 1.0	B A_A N D_D II
میلوڈی 1.0	M AE L O_O D II
کاروائیاں 1.0	K A_A R V A_A I J A_A_N
اتروانا 1.0	U T_D A R V A_A N A_A
نازونخرے 1.0	N A_A Z O_O N X R A_Y
معروف 1.0	M A R U_U F
حقائق 1.0	H A Q A_A I Q
آئندہ 1.0	A_A I N D_D A_A
بولی 1.0	B O_O L II
بتائی 1.0	B A T_D A_A II
وسائل 1.0	V A S A_A I L
صحافی 1.0	S A H H A_A F II
جیئں 1.0	D_Z II A_Y_N
آنکھ 1.0	A_A N K_H
اہلیت 1.0	A H L II J A T_D
بری 1.0	B A R II
منگل 1.0	M A N_G G A L
لیتا 1.0	L A_Y T_D A_A
والی 1.0	V A_A L II
ادھر 1.0	U D_D_H A R
والہ 1.0	V A_A L A_A
تیاری 1.0	T_D A J J A_A R II
کاکو 1.0	K A_A K U_U
مقدمات 1.0	M U Q A D_D D_D A M A_A T_D
والے 1.0	V A_A L A_Y
دلاور 1.0	D_D A L A_A V A R
لورالائی 1.0	L O R A_A L A_A II
کھو 1.0	K_H O_O
کھل 1.0	K_H A L
چاہے 1.0	TS A_A H A_Y
خالق 1.0	X A_A L I Q
چشمہ 1.0	TS A S_H M A_A
انتخاب 1.0	I N T_D I X A_A B
خونریز 1.0	X U_U N R II Z
بہن 1.0	B AE_H H A N
چوری 1.0	TS U_U R II
فضیل 1.0	F A Z II L
بہت 1.0	B A H A T_D
ارخام 1.0	I R X A_A M
افغانستان 1.0	A F G_G A_A N I S T_D A_A N
بہا 1.0	B A H A_A
لباس 1.0	L A B A_A S
فواد 1.0	F A V A_A D_D
دلنواز 1.0	D_D I L N A V A_A Z
خالد 1.0	X A_A L I D_D
ویگنوں 1.0	V AE G A N O_O_N
عقیل 1.0	A Q II L
کھا 1.0	K_H A_A
بھلانی 1.0	B_H U L A_A N II
بڑھئی 1.0	B A R_R_H A II
بجھانے 1.0	B U D_Z_H A_A N A_Y
خالی 1.0	X A_A L II
البان 1.0	A L B A_A N
ملتان 1.0	M U L T_D A_A N
ربیعہ 1.0	R A B II A_A
درزی 1.0	D_D A R Z II
قرینے 1.0	Q A R II N A_Y
گندگی 1.0	G A N D_D A G II
چھوڑ 1.0	TS_H O_O R_R
سینما 1.0	S AE N M A_A
عبور 1.0	A B U_U R
ابوتراب 1.0	A B O_O T_D A R A_A B
منگوڑہ 1.0	M A N_G G U_U R_R A_A
نمٹنے 1.0	N I M A T N A_Y
ہمسایہ 1.0	H A M S A_A J A_A
دبا 1.0	D_D A B A_A
اخبار 1.0	A X B A_A R
شاید 1.0	S_H A_A J A D_D
برابر 1.0	B A R A_A B A R
زبیدہ 1.0	Z A B II D_D A_A
بیماریاں 1.0	B II M A_A R I J A_A_N
ملاقات 1.0	M U L L A_A Q A_A T_D
چاہت 1.0	TS A_A H A T_D
قمر 1.0	Q A M A R
بھائیوں 1.0	B_H A_A II O_O_N
ٹھٹہ 1.0	T_H A T T A_A
سست 1.0	S U S T_D
برانڈس 1.0	B A R A_A N D S
رہےہیں 1.0	R A H A_Y H A_Y_N
آمریت 1.0	A_A M R II J A T_D
اڑ 1.0	U R_R
شریعت 1.0	S_H A R II J A T_D
شہداد 1.0	S_H U H D_D A_A D_D
ہڑتالیں 1.0	H A R_R T_D A_A L A_Y_N
لوٹا 1.0	L O_O T A_A
ڈپٹ 1.0	D I P I T
سخت 1.0	S A X T_D
ہوائی 1.0	H A V A_A II
دالیں 1.0	D_D A_A L A_Y_N
حلیمہ 1.0	H A L II M A_A
متعارف 1.0	M U T_D A A_A R I F
اے 1.0	A_Y
گاتے 1.0	G A_A T_D A_Y
ماہین 1.0	M A_A H II N
ماجدہ 1.0	M A_A D_Z I D_D A_A
تنگ 1.0	T_D A N_G
از 1.0	A Z
پتنگ 1.0	P A T_D T_D I N_G
نئے 1.0	N I A_Y
نئی 1.0	N A II
بابت 1.0	B A_A B A T_D
بِلا 1.0	B I L A_A
حرمت 1.0	H A R M A T_D
حرمد 1.0	H A R M A D_D
اب 1.0	A B
اسود 1.0	A S U_U D_D
بہبود 1.0	B A H B U_U D_D
سبکتگین 1.0	S U B K A T_D G II N
جرمانہ 1.0	D_Z U R M A_A N A_A
اسحاق 1.0	I S H A_A Q
ڈالتے 1.0	D A_A L T_D A_Y
یہیں 1.0	J A H A_Y_N
وزارتِ 1.0	V A Z A_A R A T_D A_Y
دادنخان 1.0	D_D A_A D_D N X A_A N
طارق 1.0	T_D A_A R I Q
مقبول 1.0	M A Q B U_U L
پارلیمنٹ 1.0	P A_A R L II M A N T
ان 1.0	A N
رضوان 1.0	R I Z V A_A N
اکیڈمیاں 1.0	A K AE D M I J A_A_N
پنڈی 1.0	P I N D II
صنعتی 1.0	S A N A T_D II
ماچھی 1.0	M A_A TS_H II
ڈھاکہ 1.0	D_H A_A K A_A
حلال 1.0	H A L L A_A L
کھڑکی 1.0	K_H I R_R K II
مِل 1.0	M I L
اجنبی 1.0	A D_Z N A B II
بنیاد 1.0	B A N J A_A D_D
کچی 1.0	K U TS TS II
شاکر 1.0	S_H A_A K I R
اکبر 1.0	A K B A R
بدگمانیاں 1.0	B A D_D G U M A_A N I J A_A_N
کچھ 1.0	K U TS_H
خاموشی 1.0	X A_A M O_O S_H II
گھومنے 1.0	G_H U_U M N A_Y
ٹریفک 1.0	T A R AE F I K
یلغار 1.0	J A L G_G A_A R
چلوں 1.0	TS A L L O_O_N
بارونق 1.0	B A_A R U_U N A Q
شاہانہ 1.0	S_H A_A H A_A N A_A
ضروری 1.0	Z A R U_U R II
کارکردگی 1.0	K A_A R K A R D_D A G II
بھٹیاں 1.0	B_H A T T I J A_A_N
خام 1.0	X A_A M
بھایئوں 1.0	B_H A_A II O_O_N
ضرورت 1.0	Z A R U_U R A T_D
دیانت 1.0	D_D I J A_A N A T_D
تائثر 1.0	T_D A_A A S S U R
آئند 1.0	A_A I N D_D
زوہیب 1.0	Z O_O H II B
جائے 1.0	D_Z A_A A_Y
قصہ 1.0	Q I S S A_A
سیمی 1.0	S II M II
تجاوزات 1.0	T_D A D_Z A_A V U Z A_A T_D
خاص 1.0	X A_A S
تعمیراتی 1.0	T_D A_A M II R A_A T_D II
سفیان 1.0	S A F J A_A N
متین 1.0	M A T_D II N
خدمت 1.0	X I D_D M A T_D
رویہ 1.0	R A V I J A_A
کاملہ 1.0	K A_A M I L A_A
مشکلات 1.0	M U S_H K A L A_A T_D
اچھاہے 1.0	A_A TS_H TS_H A_A H A_Y
تائبہ 1.0	T_D A_A I B A_A
لکھنا 1.0	L I K_H N A_A
تعبیر 1.0	T_D A B II R
دھو 1.0	D_D_H O_O
شاہین 1.0	S_H A_A H II N
جماعتوں 1.0	D_Z A M A_A A T_D O_O_N
قطاریں 1.0	Q I T_D A_A R A_Y_N
ہتھکڑی 1.0	H A T_D_H K A R_R II
سربراہ 1.0	S A R B A R A_A
چوٹی 1.0	TS O_O T II
ہلکی 1.0	H A L K II
ترسیل 1.0	T_D A R S II L
پسینہ 1.0	P A S II N A_A
انوشہ 1.0	A N O_O S_H A_A
مدِنظر 1.0	M A D_D D_D A_Y N A Z A R
ووٹروں 1.0	V O_O T R O_O_N
ارد 1.0	A R D_D
کیمرے 1.0	K AE M R A_Y
ارب 1.0	A R A B
تکلیف 1.0	T_D A K L II F
مینار 1.0	M II N A_A R
تنظیموں 1.0	T_D A N Z II M O_O_N
چنن 1.0	TS U N A N
انگلینڈ 1.0	I N_G L AE N D
لکھنے 1.0	L I K_H N A_Y
ارم 1.0	A R A M
فکر 1.0	F I K R
چند 1.0	TS A N D_D
مزاحیہ 1.0	M U Z A_A H I J A_A
جذبات 1.0	D_Z A Z B A_A T_D
محکمے 1.0	M U H K A M A_Y
اندازہ 1.0	A N D_D A_A Z A_A
لانڈھی 1.0	L A_A N D_H II
ملتوی 1.0	M U L T_D A V II
اٹھنا 1.0	U T_H N A_A
کاروائی 1.0	K A_A R V A_A II
محکمہ 1.0	M U H K A M A_A
اندازی 1.0	A N D_D A_A Z II
بٹ 1.0	B A T
رنگوں 1.0	R A N_G G O_O_N
جاگ 1.0	D_Z A_A G
کھولے 1.0	K_H O_O L A_Y
جوق 1.0	D_Z O Q
کارِخیر 1.0	K A_A R A_Y X AE R
مسکراتے 1.0	M U S K U R A_A T_D A_Y
ٹیسٹ 1.0	T AE S T
توڑ 1.0	T_D O_O R_R
بحیرہ 1.0	B A H AE R A_A
بل 1.0	B I L
بم 1.0	B A M
لمحوں 1.0	L A M H O_O_N
بس 1.0	B A S
بر 1.0	B A R
عاتکہ 1.0	A_A T_D I K A_A
جوس 1.0	D_Z O S
بد 1.0	B A D_D
بج 1.0	B A D_Z
با 1.0	B A_A
پبلیسٹی 1.0	P A B L II S I T II
بلند 1.0	B A L A N D_D
نم 1.0	N A M
سرخ 1.0	S U R X
مافیا 1.0	M A_A F I J A_A
صوفیہ 1.0	S O_O F I J A_A
رداء 1.0	R I D_D A_A
قرطبہ 1.0	Q U R T_D A B A_A
غریب 1.0	G_G A R II B
بیماریوں 1.0	B AE M A_A R II O_O_N
حمایت 1.0	H A M A_A J A T_D
لمحہ 1.0	L A M H A_A
بے 1.0	B A_Y
اتر 1.0	U T_D R
لمحے 1.0	L A M H A_Y
اعشاریہ 1.0	A S_H A_A R I J A_A
کھولو 1.0	K_H O_O L O_O
کرنٹ 1.0	K A R A N T
رشتوں 1.0	R I S_H T_D O_O_N
کھولا 1.0	K_H O_O L A_A
نبھا 1.0	N I B_H A_A
نامے 1.0	N A_A M A_Y
عرفان 1.0	I R F A_A N
عنان 1.0	I N A_A N
جوڑ 1.0	D_Z O R_R
بچ 1.0	B A TS
میمونہ 1.0	M AE M U_U N A_A
گاجر 1.0	G A_A D_Z A R
قانونِ 1.0	Q A_A N U_U N A_Y
کھاد 1.0	K_H A_A D_D
پیچیدگیاں 1.0	P A_Y TS II D_D G II A_A_N
برتی 1.0	B A R T_D II
سبین 1.0	S A B II N
بیروزگاری 1.0	B A_Y R O_O Z G A_A R II
کشمیر 1.0	K A S_H M II R
حضرو 1.0	H A Z R U_U
کھانے 1.0	K_H A_A N A_Y
تی 1.0	T_D II
کھانی 1.0	K_H A_A N II
انتقال 1.0	I N T_D I Q A_A L
حضرت 1.0	H A Z R A T_D
تاثرات 1.0	T_D A_A S S U R A_A T_D
معطلی 1.0	M U A T_D T_D I L II
کمپیوٹر 1.0	K A M P I J U_U T A R
دیکھے 1.0	D_D A_Y K_H A_Y
عبداللہ 1.0	A B D_D U L L A_A
موذی 1.0	M U_U Z II
ناصرہ 1.0	N A_A S I R A_A
دیر 1.0	D_D A_Y R
دیس 1.0	D_D A_Y S
قیصر 1.0	Q II S A R
چ 1.0	TS A TS
دیہات 1.0	D_D A_Y H A_A T_D
رزین 1.0	R A Z II N
برتن 1.0	B A R T_D A N
دیے 1.0	D_D II A_Y
قانونی 1.0	Q A_A N U_U N II
مادری 1.0	M A_A D_D A R II
دیکھا 1.0	D_D A_Y K_H A_A
چیزیں 1.0	TS II Z A_Y_N
اصمد 1.0	A S M A D_D
حضری 1.0	H A Z R II
تو 1.0	T_D O_O
قانوناً 1.0	Q A_A N U_U N A N
صبوحی 1.0	S A B U_U H II
تم 1.0	T_D U M
وہاں 1.0	V A H A_A_N
شازیہ 1.0	S_H A_A Z I J A_A
کالام 1.0	K A_A L A_A M
بدنظمی 1.0	B A D_D N A Z M II
تر 1.0	T_D A R
وزیرِپٹرولیم 1.0	V A Z II R A_Y P A T R O_O L II M
کھانا 1.0	K_H A_A N A_A
تا 1.0	T_D A_A
پیشین 1.0	P A_Y S_H II N
روایتی 1.0	R A V A_A II T_D II
دیں 1.0	D_D A_Y_N
علیکم 1.0	A L II K A M
اٹھایا 1.0	U T_H A_A J A_A
ریگل 1.0	R II G A L
اہلکاروں 1.0	A H A L K A_A R O_O_N
عارضی 1.0	A_A R Z II
حسو 1.0	H U S U_U
